date,feature_index,NO2
2025-01-18T00:00:00.000Z,0,
2025-01-23T00:00:00.000Z,0,
2025-01-22T00:00:00.000Z,0,
2025-01-20T00:00:00.000Z,0,
2025-01-19T00:00:00.000Z,0,
2025-01-16T00:00:00.000Z,0,
2025-03-17T00:00:00.000Z,0,
2025-03-16T00:00:00.000Z,0,
2025-03-18T00:00:00.000Z,0,
2025-03-20T00:00:00.000Z,0,2.264267017640772E-5
2025-03-19T00:00:00.000Z,0,
2025-03-13T00:00:00.000Z,0,5.8259338402422145E-5
2025-03-14T00:00:00.000Z,0,2.2611657186644152E-5
2025-03-15T00:00:00.000Z,0,
2024-12-12T00:00:00.000Z,0,
2024-12-09T00:00:00.000Z,0,
2024-12-13T00:00:00.000Z,0,2.189297265431378E-5
2024-12-08T00:00:00.000Z,0,
2024-12-14T00:00:00.000Z,0,
2024-12-10T00:00:00.000Z,0,
2024-12-07T00:00:00.000Z,0,7.654616921273473E-5
2024-12-11T00:00:00.000Z,0,
2025-06-26T00:00:00.000Z,0,1.2574082938954234E-4
2025-07-01T00:00:00.000Z,0,6.950227361812722E-5
2025-06-29T00:00:00.000Z,0,
2025-06-27T00:00:00.000Z,0,
2025-06-30T00:00:00.000Z,0,4.98370445711771E-5
2025-07-02T00:00:00.000Z,0,6.713149196002632E-5
2025-06-28T00:00:00.000Z,0,
2025-06-25T00:00:00.000Z,0,6.363188731484115E-5
2025-09-20T00:00:00.000Z,0,
2025-09-16T00:00:00.000Z,0,
2025-09-18T00:00:00.000Z,0,
2025-09-15T00:00:00.000Z,0,
2025-09-14T00:00:00.000Z,0,
2025-09-19T00:00:00.000Z,0,
2025-09-13T00:00:00.000Z,0,9.595334025410314E-5
2025-09-17T00:00:00.000Z,0,
2025-09-30T00:00:00.000Z,0,4.4517787803973384E-5
2025-10-01T00:00:00.000Z,0,
2025-10-02T00:00:00.000Z,0,
2025-10-06T00:00:00.000Z,0,
2025-10-04T00:00:00.000Z,0,9.111550753004849E-5
2025-10-03T00:00:00.000Z,0,
2025-10-05T00:00:00.000Z,0,
2025-09-29T00:00:00.000Z,0,
2025-02-11T00:00:00.000Z,0,5.938074173172936E-5
2025-02-12T00:00:00.000Z,0,3.337053112772992E-5
2025-02-13T00:00:00.000Z,0,3.715046497947899E-5
2025-02-10T00:00:00.000Z,0,
2025-02-14T00:00:00.000Z,0,2.2504222215502523E-5
2025-02-15T00:00:00.000Z,0,
2025-02-09T00:00:00.000Z,0,
2025-02-16T00:00:00.000Z,0,5.049140963819809E-5
2025-05-21T00:00:00.000Z,0,
2025-05-23T00:00:00.000Z,0,
2025-05-16T00:00:00.000Z,0,
2025-05-18T00:00:00.000Z,0,4.2306009033511926E-5
2025-05-22T00:00:00.000Z,0,
2025-05-19T00:00:00.000Z,0,5.196400040100949E-5
2025-05-20T00:00:00.000Z,0,1.0277240653522313E-4
2025-05-17T00:00:00.000Z,0,
2025-07-09T00:00:00.000Z,0,
2025-07-07T00:00:00.000Z,0,
2025-07-05T00:00:00.000Z,0,
2025-07-06T00:00:00.000Z,0,4.190479330645758E-5
2025-07-08T00:00:00.000Z,0,8.487136882548738E-5
2025-07-03T00:00:00.000Z,0,
2025-07-10T00:00:00.000Z,0,8.542327268514782E-5
2025-07-04T00:00:00.000Z,0,
2025-09-08T00:00:00.000Z,0,1.4585029566660523E-4
2025-09-10T00:00:00.000Z,0,
2025-09-12T00:00:00.000Z,0,3.877982756724426E-5
2025-09-11T00:00:00.000Z,0,
2025-09-06T00:00:00.000Z,0,
2025-09-07T00:00:00.000Z,0,7.19382704119198E-5
2025-09-09T00:00:00.000Z,0,
2025-09-05T00:00:00.000Z,0,
2025-09-25T00:00:00.000Z,0,
2025-09-27T00:00:00.000Z,0,8.351466143115734E-5
2025-09-23T00:00:00.000Z,0,9.266247191893247E-5
2025-09-24T00:00:00.000Z,0,9.97522906800441E-5
2025-09-21T00:00:00.000Z,0,
2025-09-22T00:00:00.000Z,0,7.003675636951812E-5
2025-09-28T00:00:00.000Z,0,5.2973217680118975E-5
2025-09-26T00:00:00.000Z,0,6.861066301806002E-5
2024-10-02T00:00:00.000Z,0,
2024-10-03T00:00:00.000Z,0,
2024-10-01T00:00:00.000Z,0,
2025-02-17T00:00:00.000Z,0,
2025-02-20T00:00:00.000Z,0,
2025-02-21T00:00:00.000Z,0,2.6788427122584027E-5
2025-02-24T00:00:00.000Z,0,
2025-02-22T00:00:00.000Z,0,
2025-02-18T00:00:00.000Z,0,
2025-02-19T00:00:00.000Z,0,
2025-02-23T00:00:00.000Z,0,
2025-05-12T00:00:00.000Z,0,
2025-05-11T00:00:00.000Z,0,
2025-05-10T00:00:00.000Z,0,
2025-05-15T00:00:00.000Z,0,
